Date,County,Cases,Deaths
2021-08-29,Frederick,21442,340
2021-08-29,Garrett,2237,65
2021-08-29,Harford,17904,302
2021-08-29,Howard,20559,258
2021-08-29,Kent,1453,49
2021-08-29,Montgomery,75744,1597
2021-08-29,Prince_Georges,91478,1580
2021-08-29,Queen_Annes,3236,56
2021-08-29,Somerset,2772,43
2021-08-29,St_Marys,6988,136
2021-08-29,Talbot,2346,48
2021-08-29,Washington,15773,336
2021-08-29,Wicomico,8751,183
2021-08-29,Worcester,4175,107
2021-08-30,Allegany,7674,216
2021-08-30,Anne_Arundel,47117,667
2021-08-30,Baltimore,69780,1669
2021-08-30,Baltimore_City,55957,1253
2021-08-30,Calvert,4663,87
2021-08-30,Caroline,2513,34
2021-08-30,Carroll,10128,255
2021-08-30,Cecil,7091,159
2021-08-30,Charles,12381,220
2021-08-30,Dorchester,3270,65
2021-08-30,Frederick,21478,340
2021-08-30,Garrett,2244,65
2021-08-30,Harford,17931,302
2021-08-30,Howard,20605,258
2021-08-30,Kent,1453,49
2021-08-30,Montgomery,75859,1597
2021-08-30,Prince_Georges,91607,1580
2021-08-30,Queen_Annes,3244,56
2021-08-30,Somerset,2778,43
2021-08-30,St_Marys,7007,136
2021-08-30,Talbot,2357,48
2021-08-30,Washington,15817,336
2021-08-30,Wicomico,8793,183
2021-08-30,Worcester,4177,107
2021-08-31,Allegany,7698,216
2021-08-31,Anne_Arundel,47195,667
2021-08-31,Baltimore,69894,1670
2021-08-31,Baltimore_City,56032,1253
2021-08-31,Calvert,4684,87
2021-08-31,Caroline,2522,34
2021-08-31,Carroll,10163,255
2021-08-31,Cecil,7124,159
2021-08-31,Charles,12445,220
2021-08-31,Dorchester,3290,66
2021-08-31,Frederick,21525,341
2021-08-31,Garrett,2255,65
2021-08-31,Harford,17970,302
2021-08-31,Howard,20637,258
2021-08-31,Kent,1458,49
2021-08-31,Montgomery,76018,1598
2021-08-31,Prince_Georges,91768,1582
2021-08-31,Queen_Annes,3256,57
2021-08-31,Somerset,2792,43
2021-08-31,St_Marys,7052,136
2021-08-31,Talbot,2356,48
2021-08-31,Washington,15844,337
2021-08-31,Wicomico,8826,185
2021-08-31,Worcester,4198,108
2021-09-01,Allegany,7719,216
2021-09-01,Anne_Arundel,47353,670
2021-09-01,Baltimore,70019,1673
2021-09-01,Baltimore_City,56156,1256
2021-09-01,Calvert,4702,88
2021-09-01,Caroline,2529,34
2021-09-01,Carroll,10194,256
2021-09-01,Cecil,7151,159
2021-09-01,Charles,12514,221
2021-09-01,Dorchester,3306,67
